bed,bath,square,city,price,year_built,home_type
4.0,1.0,668,Jersey City,2200.0,1,MULTI_FAMILY
1.0,1.0,823.0,Jersey City,2250.0,1,APARTMENT
1.0,1.0,868,Jersey City,956.0,,
2.0,1.0,1038,Jersey City,1650.0,1,APARTMENT
1.0,1.0,700.0,Jersey City,1150.0,,
2.0,2.0,1521.0,Jersey City,4370.0,1,APARTMENT
1.0,1.0,683,Jersey City,3000.0,1,APARTMENT
1.0,1.0,745,Hoboken,1975.0,1,APARTMENT
1.0,1,1095,None,1450.0,,
2.0,1,1095,None,1700.0,,
2.0,2.0,1292.0,Jersey City,3600.0,1,TOWNHOUSE
1.0,1,1095,None,1850.0,,
2.0,1,1095,None,2650.0,,
1.0,1.0,650.0,Jersey City,2000.0,1,MULTI_FAMILY
3.0,1.0,1000.0,Jersey City,1900.0,1,APARTMENT
2.0,1.0,681,Jersey City,1500.0,1,MULTI_FAMILY
3.0,2.0,2500.0,JERSEY CITY,2000.0,1990,APARTMENT
2.0,1.0,1000.0,Jersey City,1600.0,,
1.0,1.0,750.0,Jersey City,1800.0,,
2.0,1.0,974,Jersey City,1675.0,1,MULTI_FAMILY
4.0,2.5,2000.0,Jersey City,2800.0,,
0.0,1,1095,None,1708.0,,
1.0,1,1095,None,2205.0,,
2.0,1,1095,None,2910.0,,
1.0,1.0,600.0,Jersey City,2000.0,1,APARTMENT
2.0,1.0,635.0,Jersey City,2500.0,,
3.0,1.0,639,Jersey City,1800.0,1,APARTMENT
2.0,1.0,648,Jersey City,1650.0,1,MULTI_FAMILY
2.0,3.0,1673.0,Jersey City,5000.0,,
5.0,4.0,2494.0,JERSEY CITY,7870.0,1890,TOWNHOUSE
4.0,3.0,1300.0,JERSEY CITY,2350.0,1,TOWNHOUSE
1.0,1.0,1500.0,Jersey City,5850.0,1,APARTMENT
2.0,2.0,1045.0,Jersey City,1950.0,1,APARTMENT
3.0,2.0,1320.0,Jersey City,3700.0,1,APARTMENT
1.0,1.0,739,Jersey City,1595.0,1,APARTMENT
2.0,1.0,1200.0,Jersey City,2150.0,1,APARTMENT
1.0,1.0,800.0,Jersey City,1400.0,2006,APARTMENT
1.0,1.0,723,Jersey City,1450.0,1,APARTMENT
1.0,1,1095,None,2835.0,,
2.0,1,1095,None,4040.0,,
2.0,1.0,960.0,Jersey City,1840.0,,
3.0,2.0,1500.0,Jersey City,3600.0,1,APARTMENT
2.0,1.0,800.0,Jersey City,1575.0,1,APARTMENT
1.0,1,1095,None,1225.0,,
2.0,1,1095,None,1395.0,,
1.0,1.0,673.0,Jersey City,2205.0,1,APARTMENT
2.0,1,1095,None,1438.0,,
3.0,1,1095,None,1650.0,,
2.0,1.0,1000.0,JERSEY CITY,1600.0,,
2.0,1.0,725.0,Jersey City,2650.0,,
3.0,1.0,1500.0,Jersey City,2150.0,1,APARTMENT
1.0,1.0,770.0,Jersey City,2100.0,,
1.0,1.0,760.0,Jersey City,3085.0,1,APARTMENT
2.0,1.0,850.0,Jersey City,1592.0,,
2.0,2.0,1200.0,Jersey City,2750.0,2006,APARTMENT
1.0,1.0,500.0,JERSEY CITY,1050.0,1,SINGLE_FAMILY
0.0,1,1095,None,1150.0,,
1.0,1,1095,None,1295.0,,
3.0,1,1095,None,1795.0,,
4.0,2.5,980.0,JERSEY CITY,3000.0,1985,SINGLE_FAMILY
1.0,1.0,933,Jersey City,1250.0,1,MULTI_FAMILY
1.0,1.0,729,Jersey City,1300.0,,
1.0,1.0,650.0,Jersey City,2000.0,,
2.0,1,1095,None,1450.0,,
1.0,1.0,671,Jersey City,1900.0,1,APARTMENT
1.0,1.0,600.0,Jersey City,1800.0,1,APARTMENT
0.0,1,1095,None,2295.0,,
1.0,1,1095,None,2855.0,,
2.0,1,1095,None,3980.0,,
0.0,1,1095,None,2643.0,,
1.0,1,1095,None,2810.0,,
